rec,date,U,H,F,D,B,ms,ns
0,1957-08,0,0,0,1,0,D,3
1,1957-09,0,0,0,1,0,D,3
1,1957-10,0,1,0,0,0,H,2
1,1957-11,0,1,0,0,0,H,2
1,1957-12,0,0,0,0,1,B,4
1,1958-01,1,0,0,0,0,U,1
1,1958-02,1,0,0,0,0,U,1
1,1958-03,1,0,0,0,0,U,1
1,1958-04,1,0,0,0,0,U,1
0,1958-05,1,0,0,0,0,U,1
0,1958-06,1,0,0,0,0,U,1
0,1958-07,1,0,0,0,0,U,1
0,1958-08,1,0,0,0,0,U,1
0,1958-09,1,0,0,0,0,U,1
0,1958-10,1,0,0,0,0,U,1
0,1958-11,1,0,0,0,0,U,1
0,1958-12,1,0,0,0,0,U,1
0,1959-01,1,0,0,0,0,U,1
0,1959-02,1,0,0,0,0,U,1
0,1959-03,1,0,0,0,0,U,1
0,1959-04,1,0,0,0,0,U,1
0,1959-05,0,1,0,0,0,H,2
0,1959-06,0,1,0,0,0,H,2
0,1959-07,0,1,0,0,0,H,2
0,1959-08,0,1,0,0,0,H,2
0,1959-09,0,0,0,1,0,D,3
0,1959-10,0,0,0,1,0,D,3
0,1959-11,0,0,0,1,0,D,3
0,1959-12,0,0,0,1,0,D,3
0,1960-01,0,0,0,1,0,D,3
0,1960-02,0,1,0,0,0,H,2
0,1960-03,0,1,0,0,0,H,2
0,1960-04,0,1,0,0,0,H,2
1,1960-05,0,1,0,0,0,H,2
1,1960-06,1,0,0,0,0,U,1
1,1960-07,1,0,0,0,0,U,1
1,1960-08,1,0,0,0,0,U,1
1,1960-09,1,0,0,0,0,U,1
1,1960-10,1,0,0,0,0,U,1
1,1960-11,1,0,0,0,0,U,1
1,1960-12,1,0,0,0,0,U,1
1,1961-01,1,0,0,0,0,U,1
1,1961-02,1,0,0,0,0,U,1
0,1961-03,1,0,0,0,0,U,1
0,1961-04,1,0,0,0,0,U,1
0,1961-05,1,0,0,0,0,U,1
0,1961-06,1,0,0,0,0,U,1
0,1961-07,1,0,0,0,0,U,1
0,1961-08,1,0,0,0,0,U,1
0,1961-09,1,0,0,0,0,U,1
0,1961-10,1,0,0,0,0,U,1
0,1961-11,1,0,0,0,0,U,1
0,1961-12,1,0,0,0,0,U,1
0,1962-01,1,0,0,0,0,U,1
0,1962-02,1,0,0,0,0,U,1
0,1962-03,1,0,0,0,0,U,1
0,1962-04,1,0,0,0,0,U,1
0,1962-05,1,0,0,0,0,U,1
0,1962-06,1,0,0,0,0,U,1
0,1962-07,1,0,0,0,0,U,1
0,1962-08,1,0,0,0,0,U,1
0,1962-09,1,0,0,0,0,U,1
0,1962-10,1,0,0,0,0,U,1
0,1962-11,1,0,0,0,0,U,1
0,1962-12,1,0,0,0,0,U,1
0,1963-01,1,0,0,0,0,U,1
0,1963-02,1,0,0,0,0,U,1
0,1963-03,1,0,0,0,0,U,1
0,1963-04,1,0,0,0,0,U,1
0,1963-05,1,0,0,0,0,U,1
0,1963-06,1,0,0,0,0,U,1
0,1963-07,1,0,0,0,0,U,1
0,1963-08,1,0,0,0,0,U,1
0,1963-09,1,0,0,0,0,U,1
0,1963-10,1,0,0,0,0,U,1
0,1963-11,1,0,0,0,0,U,1
0,1963-12,1,0,0,0,0,U,1
0,1964-01,1,0,0,0,0,U,1
0,1964-02,1,0,0,0,0,U,1
0,1964-03,1,0,0,0,0,U,1
0,1964-04,1,0,0,0,0,U,1
0,1964-05,1,0,0,0,0,U,1
0,1964-06,1,0,0,0,0,U,1
0,1964-07,1,0,0,0,0,U,1
0,1964-08,1,0,0,0,0,U,1
0,1964-09,1,0,0,0,0,U,1
0,1964-10,1,0,0,0,0,U,1
0,1964-11,1,0,0,0,0,U,1
0,1964-12,0,0,1,0,0,F,5
0,1965-01,1,0,0,0,0,U,1
0,1965-02,0,0,1,0,0,F,5
0,1965-03,0,0,1,0,0,F,5
0,1965-04,0,0,1,0,0,F,5
0,1965-05,1,0,0,0,0,U,1
0,1965-06,1,0,0,0,0,U,1
0,1965-07,1,0,0,0,0,U,1
0,1965-08,1,0,0,0,0,U,1
0,1965-09,0,0,1,0,0,F,5
0,1965-10,0,0,1,0,0,F,5
0,1965-11,0,0,1,0,0,F,5
0,1965-12,0,1,0,0,0,H,2
0,1966-01,0,1,0,0,0,H,2
0,1966-02,0,1,0,0,0,H,2
0,1966-03,0,0,0,1,0,D,3
0,1966-04,0,0,0,1,0,D,3
0,1966-05,0,1,0,0,0,H,2
0,1966-06,0,1,0,0,0,H,2
0,1966-07,0,1,0,0,0,H,2
0,1966-08,0,1,0,0,0,H,2
0,1966-09,0,0,0,1,0,D,3
0,1966-10,0,0,0,1,0,D,3
0,1966-11,0,0,0,1,0,D,3
0,1966-12,0,0,0,1,0,D,3
0,1967-01,0,0,0,1,0,D,3
0,1967-02,0,1,0,0,0,H,2
0,1967-03,1,0,0,0,0,U,1
0,1967-04,1,0,0,0,0,U,1
0,1967-05,1,0,0,0,0,U,1
0,1967-06,1,0,0,0,0,U,1
0,1967-07,0,1,0,0,0,H,2
0,1967-08,0,1,0,0,0,H,2
0,1967-09,0,1,0,0,0,H,2
0,1967-10,0,1,0,0,0,H,2
0,1967-11,0,1,0,0,0,H,2
0,1967-12,0,0,1,0,0,F,5
0,1968-01,0,1,0,0,0,H,2
0,1968-02,0,1,0,0,0,H,2
0,1968-03,0,1,0,0,0,H,2
0,1968-04,0,1,0,0,0,H,2
0,1968-05,0,0,0,1,0,D,3
0,1968-06,0,0,0,1,0,D,3
0,1968-07,0,0,0,1,0,D,3
0,1968-08,0,1,0,0,0,H,2
0,1968-09,0,0,1,0,0,F,5
0,1968-10,0,0,1,0,0,F,5
0,1968-11,0,0,0,0,1,B,4
0,1968-12,0,0,0,1,0,D,3
0,1969-01,0,0,0,1,0,D,3
0,1969-02,0,0,0,1,0,D,3
0,1969-03,0,1,0,0,0,H,2
0,1969-04,0,1,0,0,0,H,2
0,1969-05,0,1,0,0,0,H,2
0,1969-06,0,0,0,1,0,D,3
0,1969-07,0,0,0,1,0,D,3
0,1969-08,0,0,0,1,0,D,3
0,1969-09,0,0,0,1,0,D,3
0,1969-10,0,0,0,1,0,D,3
0,1969-11,0,0,0,1,0,D,3
0,1969-12,0,0,0,1,0,D,3
1,1970-01,0,0,0,1,0,D,3
1,1970-02,0,1,0,0,0,H,2
1,1970-03,0,1,0,0,0,H,2
1,1970-04,0,1,0,0,0,H,2
1,1970-05,0,1,0,0,0,H,2
1,1970-06,0,1,0,0,0,H,2
1,1970-07,0,1,0,0,0,H,2
1,1970-08,0,1,0,0,0,H,2
1,1970-09,0,1,0,0,0,H,2
1,1970-10,0,1,0,0,0,H,2
1,1970-11,1,0,0,0,0,U,1
0,1970-12,1,0,0,0,0,U,1
0,1971-01,1,0,0,0,0,U,1
0,1971-02,1,0,0,0,0,U,1
0,1971-03,1,0,0,0,0,U,1
0,1971-04,1,0,0,0,0,U,1
0,1971-05,1,0,0,0,0,U,1
0,1971-06,0,1,0,0,0,H,2
0,1971-07,0,1,0,0,0,H,2
0,1971-08,0,1,0,0,0,H,2
0,1971-09,1,0,0,0,0,U,1
0,1971-10,1,0,0,0,0,U,1
0,1971-11,1,0,0,0,0,U,1
0,1971-12,1,0,0,0,0,U,1
0,1972-01,1,0,0,0,0,U,1
0,1972-02,1,0,0,0,0,U,1
0,1972-03,1,0,0,0,0,U,1
0,1972-04,1,0,0,0,0,U,1
0,1972-05,1,0,0,0,0,U,1
0,1972-06,1,0,0,0,0,U,1
0,1972-07,1,0,0,0,0,U,1
0,1972-08,1,0,0,0,0,U,1
0,1972-09,1,0,0,0,0,U,1
