"","date","Ufh","Ufb","Usb","Ush","H","D","B","F","ns","ms"
"96","1952-12",0,1,0,0,0,0,0,0,"0.5","U2"
"97","1953-01",0,1,0,0,0,0,0,0,"0.5","U2"
"98","1953-02",1,0,0,0,0,0,0,0,"0.25","U1"
"99","1953-03",0,1,0,0,0,0,0,0,"0.5","U2"
"100","1953-04",0,1,0,0,0,0,0,0,"0.5","U2"
"101","1953-05",0,1,0,0,0,0,0,0,"0.5","U2"
"102","1953-06",1,0,0,0,0,0,0,0,"0.25","U1"
"103","1953-07",0,1,0,0,0,0,0,0,"0.5","U2"
"104","1953-08",1,0,0,0,0,0,0,0,"0.25","U1"
"105","1953-09",1,0,0,0,0,0,0,0,"0.25","U1"
"106","1953-10",1,0,0,0,0,0,0,0,"0.25","U1"
"107","1953-11",1,0,0,0,0,0,0,0,"0.25","U1"
"108","1953-12",0,1,0,0,0,0,0,0,"0.5","U2"
"109","1954-01",1,0,0,0,0,0,0,0,"0.25","U1"
"110","1954-02",0,1,0,0,0,0,0,0,"0.5","U2"
"111","1954-03",0,1,0,0,0,0,0,0,"0.5","U2"
"112","1954-04",1,0,0,0,0,0,0,0,"0.25","U1"
"113","1954-05",1,0,0,0,0,0,0,0,"0.25","U1"
"114","1954-06",1,0,0,0,0,0,0,0,"0.25","U1"
"115","1954-07",1,0,0,0,0,0,0,0,"0.25","U1"
"116","1954-08",1,0,0,0,0,0,0,0,"0.25","U1"
"117","1954-09",1,0,0,0,0,0,0,0,"0.25","U1"
"118","1954-10",1,0,0,0,0,0,0,0,"0.25","U1"
"119","1954-11",1,0,0,0,0,0,0,0,"0.25","U1"
"120","1954-12",1,0,0,0,0,0,0,0,"0.25","U1"
"121","1955-01",1,0,0,0,0,0,0,0,"0.25","U1"
"122","1955-02",1,0,0,0,0,0,0,0,"0.25","U1"
"123","1955-03",1,0,0,0,0,0,0,0,"0.25","U1"
"124","1955-04",1,0,0,0,0,0,0,0,"0.25","U1"
"125","1955-05",1,0,0,0,0,0,0,0,"0.25","U1"
"126","1955-06",1,0,0,0,0,0,0,0,"0.25","U1"
"127","1955-07",1,0,0,0,0,0,0,0,"0.25","U1"
"128","1955-08",1,0,0,0,0,0,0,0,"0.25","U1"
"129","1955-09",1,0,0,0,0,0,0,0,"0.25","U1"
"130","1955-10",1,0,0,0,0,0,0,0,"0.25","U1"
"131","1955-11",1,0,0,0,0,0,0,0,"0.25","U1"
"132","1955-12",1,0,0,0,0,0,0,0,"0.25","U1"
"133","1956-01",1,0,0,0,0,0,0,0,"0.25","U1"
"134","1956-02",1,0,0,0,0,0,0,0,"0.25","U1"
"135","1956-03",1,0,0,0,0,0,0,0,"0.25","U1"
"136","1956-04",0,0,0,0,1,0,0,0,"2","H"
"137","1956-05",0,0,0,0,1,0,0,0,"2","H"
"138","1956-06",1,0,0,0,0,0,0,0,"0.25","U1"
"139","1956-07",1,0,0,0,0,0,0,0,"0.25","U1"
"140","1956-08",0,0,0,0,1,0,0,0,"2","H"
"141","1956-09",0,0,0,0,1,0,0,0,"2","H"
"142","1956-10",0,0,0,0,1,0,0,0,"2","H"
"143","1956-11",0,0,0,0,1,0,0,0,"2","H"
"144","1956-12",0,0,0,0,1,0,0,0,"2","H"
"145","1957-01",0,0,0,0,0,0,0,1,"5","F"
"146","1957-02",0,0,0,0,0,0,0,1,"5","F"
"147","1957-03",0,0,0,0,0,0,0,1,"5","F"
"148","1957-04",0,0,0,0,0,0,0,1,"5","F"
"149","1957-05",0,0,0,0,1,0,0,0,"2","H"
"150","1957-06",0,0,0,0,1,0,0,0,"2","H"
"151","1957-07",0,0,0,0,1,0,0,0,"2","H"
"152","1957-08",0,0,0,0,0,1,0,0,"3","D"
"153","1957-09",0,0,0,0,0,1,0,0,"3","D"
"154","1957-10",0,0,0,0,1,0,0,0,"2","H"
"155","1957-11",0,0,0,0,1,0,0,0,"2","H"
"156","1957-12",0,0,0,0,0,0,1,0,"4","B"
"157","1958-01",0,1,0,0,0,0,0,0,"0.5","U2"
"158","1958-02",1,0,0,0,0,0,0,0,"0.25","U1"
"159","1958-03",1,0,0,0,0,0,0,0,"0.25","U1"
"160","1958-04",1,0,0,0,0,0,0,0,"0.25","U1"
"161","1958-05",1,0,0,0,0,0,0,0,"0.25","U1"
"162","1958-06",1,0,0,0,0,0,0,0,"0.25","U1"
"163","1958-07",1,0,0,0,0,0,0,0,"0.25","U1"
"164","1958-08",1,0,0,0,0,0,0,0,"0.25","U1"
"165","1958-09",1,0,0,0,0,0,0,0,"0.25","U1"
"166","1958-10",1,0,0,0,0,0,0,0,"0.25","U1"
"167","1958-11",1,0,0,0,0,0,0,0,"0.25","U1"
"168","1958-12",1,0,0,0,0,0,0,0,"0.25","U1"
"169","1959-01",1,0,0,0,0,0,0,0,"0.25","U1"
"170","1959-02",1,0,0,0,0,0,0,0,"0.25","U1"
"171","1959-03",1,0,0,0,0,0,0,0,"0.25","U1"
"172","1959-04",1,0,0,0,0,0,0,0,"0.25","U1"
"173","1959-05",0,0,0,0,1,0,0,0,"2","H"
"174","1959-06",0,0,0,0,1,0,0,0,"2","H"
"175","1959-07",0,0,0,0,1,0,0,0,"2","H"
"176","1959-08",0,0,0,0,1,0,0,0,"2","H"
"177","1959-09",0,0,0,0,0,1,0,0,"3","D"
"178","1959-10",0,0,0,0,0,1,0,0,"3","D"
"179","1959-11",0,0,0,0,0,1,0,0,"3","D"
"180","1959-12",0,0,0,0,0,1,0,0,"3","D"
"181","1960-01",0,0,0,0,0,1,0,0,"3","D"
"182","1960-02",0,0,0,0,1,0,0,0,"2","H"
"183","1960-03",0,0,0,0,1,0,0,0,"2","H"
"184","1960-04",0,0,0,0,1,0,0,0,"2","H"
"185","1960-05",0,0,0,0,1,0,0,0,"2","H"
"186","1960-06",1,0,0,0,0,0,0,0,"0.25","U1"
"187","1960-07",1,0,0,0,0,0,0,0,"0.25","U1"
"188","1960-08",1,0,0,0,0,0,0,0,"0.25","U1"
"189","1960-09",1,0,0,0,0,0,0,0,"0.25","U1"
"190","1960-10",1,0,0,0,0,0,0,0,"0.25","U1"
"191","1960-11",1,0,0,0,0,0,0,0,"0.25","U1"
"192","1960-12",1,0,0,0,0,0,0,0,"0.25","U1"
"193","1961-01",1,0,0,0,0,0,0,0,"0.25","U1"
"194","1961-02",1,0,0,0,0,0,0,0,"0.25","U1"
"195","1961-03",1,0,0,0,0,0,0,0,"0.25","U1"
"196","1961-04",1,0,0,0,0,0,0,0,"0.25","U1"
"197","1961-05",1,0,0,0,0,0,0,0,"0.25","U1"
"198","1961-06",1,0,0,0,0,0,0,0,"0.25","U1"
"199","1961-07",1,0,0,0,0,0,0,0,"0.25","U1"
"200","1961-08",1,0,0,0,0,0,0,0,"0.25","U1"
"201","1961-09",1,0,0,0,0,0,0,0,"0.25","U1"
"202","1961-10",1,0,0,0,0,0,0,0,"0.25","U1"
"203","1961-11",1,0,0,0,0,0,0,0,"0.25","U1"
"204","1961-12",1,0,0,0,0,0,0,0,"0.25","U1"
"205","1962-01",1,0,0,0,0,0,0,0,"0.25","U1"
"206","1962-02",1,0,0,0,0,0,0,0,"0.25","U1"
