"","date","B","D","F","H","U","Ua","Ub","Shape","S"
"104","1961-11",0,0,0,0,1,1,0,"Ua","0.5"
"105","1961-12",0,0,0,0,1,1,0,"Ua","0.5"
"106","1962-01",0,0,0,0,1,1,0,"Ua","0.5"
"107","1962-02",0,0,0,0,1,1,0,"Ua","0.5"
"108","1962-03",0,0,0,0,1,1,0,"Ua","0.5"
"109","1962-04",0,0,0,0,1,1,0,"Ua","0.5"
"110","1962-05",0,0,0,0,1,1,0,"Ua","0.5"
"111","1962-06",0,0,0,0,1,1,0,"Ua","0.5"
"112","1962-07",0,0,0,0,1,1,0,"Ua","0.5"
"113","1962-08",0,0,0,0,1,1,0,"Ua","0.5"
"114","1962-09",0,0,0,0,1,1,0,"Ua","0.5"
"115","1962-10",0,0,0,0,1,1,0,"Ua","0.5"
"116","1962-11",0,0,0,0,1,1,0,"Ua","0.5"
"117","1962-12",0,0,0,0,1,1,0,"Ua","0.5"
"118","1963-01",0,0,0,0,1,1,0,"Ua","0.5"
"119","1963-02",0,0,0,0,1,1,0,"Ua","0.5"
"120","1963-03",0,0,0,0,1,1,0,"Ua","0.5"
"121","1963-04",0,0,0,0,1,1,0,"Ua","0.5"
"122","1963-05",0,0,0,0,1,1,0,"Ua","0.5"
"123","1963-06",0,0,0,0,1,1,0,"Ua","0.5"
"124","1963-07",0,0,0,0,1,1,0,"Ua","0.5"
"125","1963-08",0,0,0,0,1,1,0,"Ua","0.5"
"126","1963-09",0,0,0,0,1,1,0,"Ua","0.5"
"127","1963-10",0,0,0,0,1,1,0,"Ua","0.5"
"128","1963-11",0,0,0,0,1,1,0,"Ua","0.5"
"129","1963-12",0,0,0,0,1,1,0,"Ua","0.5"
"130","1964-01",0,0,0,0,1,1,0,"Ua","0.5"
"131","1964-02",0,0,0,0,1,1,0,"Ua","0.5"
"132","1964-03",0,0,0,0,1,1,0,"Ua","0.5"
"133","1964-04",0,0,0,0,1,1,0,"Ua","0.5"
"134","1964-05",0,0,0,0,1,1,0,"Ua","0.5"
"135","1964-06",0,0,0,0,1,1,0,"Ua","0.5"
"136","1964-07",0,0,0,0,1,1,0,"Ua","0.5"
"137","1964-08",0,0,0,0,1,1,0,"Ua","0.5"
"138","1964-09",0,0,0,0,1,1,0,"Ua","0.5"
"139","1964-10",0,0,0,0,1,1,0,"Ua","0.5"
"140","1964-11",0,0,0,0,1,1,0,"Ua","0.5"
"141","1964-12",0,0,1,0,0,0,0,"F","3"
"142","1965-01",0,0,0,0,1,1,0,"Ua","0.5"
"143","1965-02",0,0,1,0,0,0,0,"F","3"
"144","1965-03",0,0,1,0,0,0,0,"F","3"
"145","1965-04",0,0,1,0,0,0,0,"F","3"
"146","1965-05",0,0,0,0,1,1,0,"Ua","0.5"
"147","1965-06",0,0,0,0,1,1,0,"Ua","0.5"
"148","1965-07",0,0,0,0,1,1,0,"Ua","0.5"
"149","1965-08",0,0,0,0,1,1,0,"Ua","0.5"
"150","1965-09",0,0,1,0,0,0,0,"F","3"
"151","1965-10",0,0,1,0,0,0,0,"F","3"
"152","1965-11",0,0,1,0,0,0,0,"F","3"
"153","1965-12",0,0,0,1,0,0,0,"H","4"
"154","1966-01",0,0,0,1,0,0,0,"H","4"
"155","1966-02",0,0,0,1,0,0,0,"H","4"
"156","1966-03",0,1,0,0,0,0,0,"D","5"
"157","1966-04",0,1,0,0,0,0,0,"D","5"
"158","1966-05",0,0,0,1,0,0,0,"H","4"
"159","1966-06",0,0,0,1,0,0,0,"H","4"
"160","1966-07",0,0,0,1,0,0,0,"H","4"
"161","1966-08",0,0,0,1,0,0,0,"H","4"
"162","1966-09",0,1,0,0,0,0,0,"D","5"
"163","1966-10",0,1,0,0,0,0,0,"D","5"
