"","date","B","D","F","H","U","Shape","S"
"216","1962-12",0,0,0,0,1,"U","1"
"217","1963-01",0,0,0,0,1,"U","1"
"218","1963-02",0,0,0,0,1,"U","1"
"219","1963-03",0,0,0,0,1,"U","1"
"220","1963-04",0,0,0,0,1,"U","1"
"221","1963-05",0,0,0,0,1,"U","1"
"222","1963-06",0,0,0,0,1,"U","1"
"223","1963-07",0,0,0,0,1,"U","1"
"224","1963-08",0,0,0,0,1,"U","1"
"225","1963-09",0,0,0,0,1,"U","1"
"226","1963-10",0,0,0,0,1,"U","1"
"227","1963-11",0,0,0,0,1,"U","1"
"228","1963-12",0,0,0,0,1,"U","1"
"229","1964-01",0,0,0,0,1,"U","1"
"230","1964-02",0,0,0,0,1,"U","1"
"231","1964-03",0,0,0,0,1,"U","1"
"232","1964-04",0,0,0,0,1,"U","1"
"233","1964-05",0,0,0,0,1,"U","1"
"234","1964-06",0,0,0,0,1,"U","1"
"235","1964-07",0,0,0,0,1,"U","1"
"236","1964-08",0,0,0,0,1,"U","1"
"237","1964-09",0,0,0,0,1,"U","1"
"238","1964-10",0,0,0,0,1,"U","1"
"239","1964-11",0,0,0,0,1,"U","1"
"240","1964-12",0,0,1,0,0,"F","3"
"241","1965-01",0,0,0,0,1,"U","1"
"242","1965-02",0,0,1,0,0,"F","3"
"243","1965-03",0,0,1,0,0,"F","3"
"244","1965-04",0,0,1,0,0,"F","3"
"245","1965-05",0,0,0,0,1,"U","1"
"246","1965-06",0,0,0,0,1,"U","1"
"247","1965-07",0,0,0,0,1,"U","1"
"248","1965-08",0,0,0,0,1,"U","1"
"249","1965-09",0,0,1,0,0,"F","3"
"250","1965-10",0,0,1,0,0,"F","3"
"251","1965-11",0,0,1,0,0,"F","3"
"252","1965-12",0,0,0,1,0,"H","4"
"253","1966-01",0,0,0,1,0,"H","4"
"254","1966-02",0,0,0,1,0,"H","4"
"255","1966-03",0,1,0,0,0,"D","5"
"256","1966-04",0,1,0,0,0,"D","5"
"257","1966-05",0,0,0,1,0,"H","4"
"258","1966-06",0,0,0,1,0,"H","4"
"259","1966-07",0,0,0,1,0,"H","4"
"260","1966-08",0,0,0,1,0,"H","4"
"261","1966-09",0,1,0,0,0,"D","5"
"262","1966-10",0,1,0,0,0,"D","5"
"263","1966-11",0,1,0,0,0,"D","5"
"264","1966-12",0,1,0,0,0,"D","5"
"265","1967-01",0,1,0,0,0,"D","5"
"266","1967-02",0,0,0,1,0,"H","4"
"267","1967-03",0,0,0,0,1,"U","1"
"268","1967-04",0,0,0,0,1,"U","1"
"269","1967-05",0,0,0,0,1,"U","1"
"270","1967-06",0,0,0,0,1,"U","1"
"271","1967-07",0,0,0,1,0,"H","4"
"272","1967-08",0,0,0,1,0,"H","4"
"273","1967-09",0,0,0,1,0,"H","4"
"274","1967-10",0,0,0,1,0,"H","4"
"275","1967-11",0,0,0,1,0,"H","4"
"276","1967-12",0,0,1,0,0,"F","3"
"277","1968-01",0,0,0,1,0,"H","4"
"278","1968-02",0,0,0,1,0,"H","4"
