date,ms,rec
1982-10,U,1
1982-11,U,1
1982-12,U,2
1983-01,U,2
1983-02,U,2
1983-03,U,2
1983-04,U,2
1983-05,U,2
1983-06,U,2
1983-07,U,2
1983-08,U,2
1983-09,U,2
1983-10,U,2
1983-11,U,2
1983-12,U,0
1984-01,U,0
1984-02,U,0
1984-03,U,0
1984-04,U,0
1984-05,U,0
1984-06,U,0
1984-07,U,0
1984-08,U,0
1984-09,H,0
1984-10,U,0
1984-11,U,0
1984-12,U,0
1985-01,U,0
1985-02,U,0
1985-03,U,0
1985-04,U,0
1985-05,U,0
1985-06,U,0
1985-07,U,0
1985-08,U,0
1985-09,U,0
1985-10,U,0
1985-11,U,0
1985-12,U,0
1986-01,U,0
1986-02,U,0
1986-03,U,0
1986-04,U,0
1986-05,U,0
1986-06,U,0
1986-07,U,0
1986-08,U,0
1986-09,U,0
1986-10,U,0
1986-11,U,0
1986-12,U,0
1987-01,U,0
1987-02,U,0
1987-03,U,0
1987-04,U,0
1987-05,U,0
1987-06,U,0
1987-07,U,0
1987-08,U,0
1987-09,U,0
1987-10,U,0
1987-11,U,0
1987-12,U,0
1988-01,U,0
1988-02,U,0
1988-03,U,0
1988-04,U,0
1988-05,U,0
1988-06,U,0
1988-07,U,0
1988-08,U,0
1988-09,U,0
1988-10,U,0
1988-11,U,0
1988-12,H,0
1989-01,H,3
1989-02,H,3
1989-03,H,3
1989-04,H,3
1989-05,F,3
1989-06,F,3
1989-07,B,3
1989-08,F,3
1989-09,F,3
1989-10,F,3
1989-11,F,3
1989-12,B,3
1990-01,U,3
1990-02,U,3
1990-03,H,3
1990-04,H,3
1990-05,U,3
1990-06,U,3
1990-07,U,1
1990-08,U,1
1990-09,U,1
1990-10,U,1
1990-11,U,1
1990-12,U,1
1991-01,U,1
1991-02,U,1
1991-03,U,1
1991-04,U,2
1991-05,U,2
1991-06,U,2
1991-07,U,2
1991-08,U,2
1991-09,U,2
1991-10,U,2
1991-11,U,2
1991-12,U,2
1992-01,U,2
1992-02,U,2
1992-03,U,2
1992-04,U,0
1992-05,U,0
1992-06,U,0
1992-07,U,0
1992-08,U,0
1992-09,U,0
1992-10,U,0
1992-11,U,0
1992-12,U,0
1993-01,U,0
1993-02,U,0
1993-03,U,0
1993-04,U,0
1993-05,U,0
1993-06,U,0
1993-07,U,0
1993-08,U,0
1993-09,U,0
1993-10,U,0
1993-11,U,0
1993-12,U,0
1994-01,U,0
1994-02,U,0
1994-03,U,0
1994-04,U,0
1994-05,U,0
1994-06,U,0
1994-07,U,0
1994-08,U,0
1994-09,U,0
1994-10,U,0
1994-11,U,0
1994-12,U,0
1995-01,U,0
1995-02,U,0
1995-03,U,0
1995-04,U,0
1995-05,U,0
1995-06,U,0
1995-07,U,0
1995-08,U,0
1995-09,U,0
1995-10,U,0
1995-11,U,0
1995-12,U,0
1996-01,U,0
1996-02,U,0
1996-03,U,0
1996-04,U,0
1996-05,U,0
1996-06,U,0
1996-07,U,0
1996-08,U,0
1996-09,U,0
1996-10,U,0
1996-11,U,0
1996-12,U,0
1997-01,U,0
1997-02,U,0
1997-03,U,0
1997-04,U,0
1997-05,U,0
1997-06,U,0
1997-07,U,0
1997-08,U,0
1997-09,U,0
1997-10,U,0
1997-11,U,0
1997-12,U,0
1998-01,U,0
1998-02,U,0
1998-03,U,0
1998-04,U,0
1998-05,U,0
1998-06,U,0
1998-07,U,0
1998-08,U,0
1998-09,B,0
