,date,seq,b,d,f,h,u
734,2014-05,U,0,0,0,0,1
735,2014-06,U,0,0,0,0,1
736,2014-07,U,0,0,0,0,1
737,2014-08,U,0,0,0,0,1
738,2014-09,U,0,0,0,0,1
739,2014-10,U,0,0,0,0,1
740,2014-11,U,0,0,0,0,1
741,2014-12,U,0,0,0,0,1
742,2015-01,U,0,0,0,0,1
743,2015-02,U,0,0,0,0,1
744,2015-03,U,0,0,0,0,1
745,2015-04,U,0,0,0,0,1
746,2015-05,U,0,0,0,0,1
747,2015-06,U,0,0,0,0,1
748,2015-07,U,0,0,0,0,1
749,2015-08,U,0,0,0,0,1
750,2015-09,U,0,0,0,0,1
751,2015-10,U,0,0,0,0,1
752,2015-11,U,0,0,0,0,1
753,2015-12,U,0,0,0,0,1
754,2016-01,U,0,0,0,0,1
755,2016-02,U,0,0,0,0,1
756,2016-03,U,0,0,0,0,1
