,date,seq,b,d,f,h,u
168,1967-03,U,0,0,0,0,1
169,1967-04,U,0,0,0,0,1
170,1967-05,U,0,0,0,0,1
171,1967-06,U,0,0,0,0,1
172,1967-07,H,0,0,0,1,0
173,1967-08,H,0,0,0,1,0
174,1967-09,H,0,0,0,1,0
175,1967-10,H,0,0,0,1,0
176,1967-11,H,0,0,0,1,0
177,1967-12,H,0,0,0,1,0
178,1968-01,H,0,0,0,1,0
179,1968-02,H,0,0,0,1,0
180,1968-03,H,0,0,0,1,0
181,1968-04,D,0,1,0,0,0
182,1968-05,D,0,1,0,0,0
183,1968-06,D,0,1,0,0,0
184,1968-07,D,0,1,0,0,0
185,1968-08,H,0,0,0,1,0
186,1968-09,D,0,1,0,0,0
187,1968-10,D,0,1,0,0,0
188,1968-11,D,0,1,0,0,0
189,1968-12,D,0,1,0,0,0
190,1969-01,D,0,1,0,0,0
191,1969-02,D,0,1,0,0,0
192,1969-03,H,0,0,0,1,0
193,1969-04,D,0,1,0,0,0
194,1969-05,H,0,0,0,1,0
195,1969-06,D,0,1,0,0,0
196,1969-07,D,0,1,0,0,0
197,1969-08,D,0,1,0,0,0
198,1969-09,D,0,1,0,0,0
199,1969-10,D,0,1,0,0,0
200,1969-11,D,0,1,0,0,0
201,1969-12,D,0,1,0,0,0
202,1970-01,D,0,1,0,0,0
203,1970-02,D,0,1,0,0,0
204,1970-03,H,0,0,0,1,0
205,1970-04,H,0,0,0,1,0
206,1970-05,H,0,0,0,1,0
207,1970-06,H,0,0,0,1,0
208,1970-07,H,0,0,0,1,0
209,1970-08,H,0,0,0,1,0
210,1970-09,H,0,0,0,1,0
211,1970-10,H,0,0,0,1,0
212,1970-11,U,0,0,0,0,1
213,1970-12,U,0,0,0,0,1
214,1971-01,U,0,0,0,0,1
215,1971-02,U,0,0,0,0,1
216,1971-03,U,0,0,0,0,1
217,1971-04,U,0,0,0,0,1
218,1971-05,U,0,0,0,0,1
219,1971-06,H,0,0,0,1,0
220,1971-07,H,0,0,0,1,0
221,1971-08,H,0,0,0,1,0
222,1971-09,H,0,0,0,1,0
223,1971-10,U,0,0,0,0,1
224,1971-11,U,0,0,0,0,1
225,1971-12,U,0,0,0,0,1
226,1972-01,U,0,0,0,0,1
227,1972-02,U,0,0,0,0,1
228,1972-03,U,0,0,0,0,1
229,1972-04,U,0,0,0,0,1
230,1972-05,U,0,0,0,0,1
231,1972-06,U,0,0,0,0,1
232,1972-07,U,0,0,0,0,1
233,1972-08,H,0,0,0,1,0
234,1972-09,H,0,0,0,1,0
235,1972-10,H,0,0,0,1,0
236,1972-11,H,0,0,0,1,0
237,1972-12,H,0,0,0,1,0
238,1973-01,U,0,0,0,0,1
239,1973-02,U,0,0,0,0,1
240,1973-03,B,1,0,0,0,0
241,1973-04,B,1,0,0,0,0
242,1973-05,B,1,0,0,0,0
243,1973-06,B,1,0,0,0,0
244,1973-07,D,0,1,0,0,0
245,1973-08,D,0,1,0,0,0
246,1973-09,B,1,0,0,0,0
247,1973-10,B,1,0,0,0,0
248,1973-11,B,1,0,0,0,0
249,1973-12,B,1,0,0,0,0
250,1974-01,B,1,0,0,0,0
251,1974-02,B,1,0,0,0,0
252,1974-03,B,1,0,0,0,0
253,1974-04,B,1,0,0,0,0
254,1974-05,B,1,0,0,0,0
255,1974-06,B,1,0,0,0,0
256,1974-07,B,1,0,0,0,0
257,1974-08,B,1,0,0,0,0
258,1974-09,B,1,0,0,0,0
259,1974-10,B,1,0,0,0,0
260,1974-11,U,0,0,0,0,1
261,1974-12,U,0,0,0,0,1
262,1975-01,U,0,0,0,0,1
263,1975-02,U,0,0,0,0,1
264,1975-03,U,0,0,0,0,1
265,1975-04,U,0,0,0,0,1
266,1975-05,U,0,0,0,0,1
267,1975-06,U,0,0,0,0,1
268,1975-07,U,0,0,0,0,1
269,1975-08,U,0,0,0,0,1
270,1975-09,U,0,0,0,0,1
271,1975-10,U,0,0,0,0,1
272,1975-11,U,0,0,0,0,1
273,1975-12,U,0,0,0,0,1
274,1976-01,U,0,0,0,0,1
275,1976-02,U,0,0,0,0,1
276,1976-03,U,0,0,0,0,1
277,1976-04,U,0,0,0,0,1
278,1976-05,U,0,0,0,0,1
279,1976-06,U,0,0,0,0,1
280,1976-07,U,0,0,0,0,1
281,1976-08,U,0,0,0,0,1
282,1976-09,U,0,0,0,0,1
283,1976-10,U,0,0,0,0,1
284,1976-11,U,0,0,0,0,1
285,1976-12,U,0,0,0,0,1
286,1977-01,U,0,0,0,0,1
287,1977-02,U,0,0,0,0,1
288,1977-03,U,0,0,0,0,1
289,1977-04,U,0,0,0,0,1
290,1977-05,U,0,0,0,0,1
291,1977-06,U,0,0,0,0,1
292,1977-07,U,0,0,0,0,1
293,1977-08,U,0,0,0,0,1
294,1977-09,U,0,0,0,0,1
295,1977-10,U,0,0,0,0,1
296,1977-11,U,0,0,0,0,1
297,1977-12,U,0,0,0,0,1
298,1978-01,U,0,0,0,0,1
299,1978-02,U,0,0,0,0,1
300,1978-03,U,0,0,0,0,1
301,1978-04,U,0,0,0,0,1
302,1978-05,U,0,0,0,0,1
303,1978-06,U,0,0,0,0,1
304,1978-07,U,0,0,0,0,1
305,1978-08,F,0,0,1,0,0
306,1978-09,B,1,0,0,0,0
307,1978-10,B,1,0,0,0,0
308,1978-11,D,0,1,0,0,0
309,1978-12,D,0,1,0,0,0
310,1979-01,D,0,1,0,0,0
311,1979-02,D,0,1,0,0,0
312,1979-03,D,0,1,0,0,0
313,1979-04,D,0,1,0,0,0
314,1979-05,D,0,1,0,0,0
315,1979-06,D,0,1,0,0,0
316,1979-07,D,0,1,0,0,0
317,1979-08,D,0,1,0,0,0
318,1979-09,D,0,1,0,0,0
319,1979-10,D,0,1,0,0,0
320,1979-11,D,0,1,0,0,0
321,1979-12,D,0,1,0,0,0
322,1980-01,D,0,1,0,0,0
323,1980-02,D,0,1,0,0,0
324,1980-03,D,0,1,0,0,0
325,1980-04,D,0,1,0,0,0
326,1980-05,U,0,0,0,0,1
327,1980-06,U,0,0,0,0,1
328,1980-07,U,0,0,0,0,1
329,1980-08,U,0,0,0,0,1
330,1980-09,H,0,0,0,1,0
331,1980-10,D,0,1,0,0,0
332,1980-11,D,0,1,0,0,0
333,1980-12,D,0,1,0,0,0
334,1981-01,D,0,1,0,0,0
335,1981-02,D,0,1,0,0,0
336,1981-03,D,0,1,0,0,0
337,1981-04,D,0,1,0,0,0
338,1981-05,D,0,1,0,0,0
339,1981-06,D,0,1,0,0,0
340,1981-07,D,0,1,0,0,0
341,1981-08,D,0,1,0,0,0
342,1981-09,D,0,1,0,0,0
343,1981-10,H,0,0,0,1,0
344,1981-11,U,0,0,0,0,1
345,1981-12,U,0,0,0,0,1
346,1982-01,H,0,0,0,1,0
347,1982-02,D,0,1,0,0,0
348,1982-03,H,0,0,0,1,0
349,1982-04,H,0,0,0,1,0
350,1982-05,H,0,0,0,1,0
351,1982-06,H,0,0,0,1,0
