,date,U,H,F,D,B,ms,ns
152,1957-08,0,0,0,1,0,D,3
153,1957-09,0,0,0,1,0,D,3
154,1957-10,0,1,0,0,0,H,2
155,1957-11,0,1,0,0,0,H,2
156,1957-12,0,0,0,0,1,B,4
157,1958-01,1,0,0,0,0,U,1
158,1958-02,1,0,0,0,0,U,1
159,1958-03,1,0,0,0,0,U,1
160,1958-04,1,0,0,0,0,U,1
161,1958-05,1,0,0,0,0,U,1
162,1958-06,1,0,0,0,0,U,1
163,1958-07,1,0,0,0,0,U,1
164,1958-08,1,0,0,0,0,U,1
165,1958-09,1,0,0,0,0,U,1
166,1958-10,1,0,0,0,0,U,1
167,1958-11,1,0,0,0,0,U,1
168,1958-12,1,0,0,0,0,U,1
169,1959-01,1,0,0,0,0,U,1
170,1959-02,1,0,0,0,0,U,1
171,1959-03,1,0,0,0,0,U,1
172,1959-04,1,0,0,0,0,U,1
173,1959-05,0,1,0,0,0,H,2
174,1959-06,0,1,0,0,0,H,2
175,1959-07,0,1,0,0,0,H,2
176,1959-08,0,1,0,0,0,H,2
177,1959-09,0,0,0,1,0,D,3
178,1959-10,0,0,0,1,0,D,3
179,1959-11,0,0,0,1,0,D,3
180,1959-12,0,0,0,1,0,D,3
181,1960-01,0,0,0,1,0,D,3
182,1960-02,0,1,0,0,0,H,2
183,1960-03,0,1,0,0,0,H,2
184,1960-04,0,1,0,0,0,H,2
185,1960-05,0,1,0,0,0,H,2
186,1960-06,1,0,0,0,0,U,1
187,1960-07,1,0,0,0,0,U,1
188,1960-08,1,0,0,0,0,U,1
189,1960-09,1,0,0,0,0,U,1
190,1960-10,1,0,0,0,0,U,1
191,1960-11,1,0,0,0,0,U,1
192,1960-12,1,0,0,0,0,U,1
193,1961-01,1,0,0,0,0,U,1
194,1961-02,1,0,0,0,0,U,1
195,1961-03,1,0,0,0,0,U,1
196,1961-04,1,0,0,0,0,U,1
197,1961-05,1,0,0,0,0,U,1
198,1961-06,1,0,0,0,0,U,1
199,1961-07,1,0,0,0,0,U,1
200,1961-08,1,0,0,0,0,U,1
201,1961-09,1,0,0,0,0,U,1
202,1961-10,1,0,0,0,0,U,1
203,1961-11,1,0,0,0,0,U,1
204,1961-12,1,0,0,0,0,U,1
205,1962-01,1,0,0,0,0,U,1
206,1962-02,1,0,0,0,0,U,1
207,1962-03,1,0,0,0,0,U,1
